ID,Distance,Path
006 036,2,"['006', '001', '036']"
006 037,2,"['006', '001', '037']"
006 038,2,"['006', '001', '038']"
006 039,2,"['006', '001', '039']"
006 040,3,"['006', '001', '004', '040']"
006 041,2,"['006', '001', '041']"
006 042,2,"['006', '001', '042']"
006 043,2,"['006', '001', '043']"
006 044,2,"['006', '001', '044']"
006 045,2,"['006', '001', '045']"
006 046,2,"['006', '001', '046']"
006 047,2,"['006', '001', '047']"
006 048,2,"['006', '001', '048']"
006 049,2,"['006', '001', '049']"
006 050,3,"['006', '001', '009', '050']"
006 051,2,"['006', '001', '051']"
006 052,2,"['006', '001', '052']"
006 053,2,"['006', '001', '053']"
006 054,2,"['006', '001', '054']"
006 055,2,"['006', '001', '055']"
006 056,2,"['006', '001', '056']"
006 057,2,"['006', '001', '057']"
006 058,2,"['006', '001', '058']"
006 059,2,"['006', '001', '059']"
006 060,2,"['006', '001', '060']"
006 061,2,"['006', '001', '061']"
006 062,2,"['006', '001', '062']"
006 063,2,"['006', '003', '063']"
006 064,2,"['006', '001', '064']"
006 065,2,"['006', '001', '065']"
006 066,2,"['006', '001', '066']"
006 067,2,"['006', '001', '067']"
006 068,2,"['006', '001', '068']"
006 069,2,"['006', '001', '069']"
006 070,2,"['006', '001', '070']"
006 071,2,"['006', '001', '071']"
006 072,3,"['006', '001', '004', '072']"
006 073,2,"['006', '001', '073']"
006 074,2,"['006', '001', '074']"
006 075,2,"['006', '001', '075']"
006 076,2,"['006', '001', '076']"
006 077,2,"['006', '001', '077']"
006 078,2,"['006', '001', '078']"
006 079,2,"['006', '001', '079']"
006 080,2,"['006', '001', '080']"
006 081,2,"['006', '001', '081']"
006 082,2,"['006', '001', '082']"
006 083,2,"['006', '001', '083']"
006 084,2,"['006', '001', '084']"
006 085,3,"['006', '001', '009', '085']"
006 086,2,"['006', '001', '086']"
006 087,2,"['006', '001', '087']"
006 088,2,"['006', '001', '088']"
006 089,2,"['006', '001', '089']"
006 090,2,"['006', '001', '090']"
006 091,2,"['006', '001', '091']"
006 092,2,"['006', '001', '092']"
006 093,2,"['006', '001', '093']"
006 094,2,"['006', '001', '094']"
006 095,2,"['006', '001', '095']"
006 096,3,"['006', '001', '004', '096']"
006 097,3,"['006', '001', '004', '097']"
006 098,2,"['006', '003', '098']"
006 099,2,"['006', '003', '099']"
006 100,2,"['006', '003', '100']"
006 101,2,"['006', '003', '101']"
006 102,2,"['006', '003', '102']"
006 103,2,"['006', '001', '103']"
006 104,2,"['006', '001', '104']"
006 105,2,"['006', '001', '105']"
006 106,2,"['006', '001', '106']"
006 107,2,"['006', '001', '107']"
006 108,2,"['006', '001', '108']"
006 109,2,"['006', '001', '109']"
006 110,2,"['006', '001', '110']"
006 111,2,"['006', '001', '111']"
006 112,2,"['006', '001', '112']"
006 113,2,"['006', '001', '113']"
006 114,2,"['006', '001', '114']"
007 001,1,"['007', '001']"
007 002,1,"['007', '002']"
007 003,1,"['007', '003']"
007 004,1,"['007', '004']"
007 005,1,"['007', '005']"
007 006,2,"['007', '001', '006']"
007 007,0,['007']
007 008,2,"['007', '001', '008']"
007 009,2,"['007', '001', '009']"
007 010,2,"['007', '001', '010']"
007 011,2,"['007', '001', '011']"
007 012,2,"['007', '001', '012']"
007 013,1,"['007', '013']"
007 014,2,"['007', '004', '014']"
007 015,2,"['007', '001', '015']"
007 016,2,"['007', '001', '016']"
007 017,2,"['007', '001', '017']"
007 018,2,"['007', '001', '018']"
007 019,2,"['007', '001', '019']"
007 020,2,"['007', '001', '020']"
007 021,2,"['007', '001', '021']"
007 022,2,"['007', '001', '022']"
007 023,2,"['007', '001', '023']"
007 024,2,"['007', '001', '024']"
007 025,2,"['007', '001', '025']"
007 026,2,"['007', '001', '026']"
007 027,2,"['007', '001', '027']"
007 028,2,"['007', '001', '028']"
007 029,2,"['007', '001', '029']"
007 030,2,"['007', '001', '030']"
007 031,2,"['007', '001', '031']"
007 032,2,"['007', '001', '032']"
007 033,2,"['007', '001', '033']"
007 034,2,"['007', '001', '034']"
007 035,1,"['007', '035']"
007 036,1,"['007', '036']"
007 037,1,"['007', '037']"
007 038,2,"['007', '001', '038']"
007 039,2,"['007', '001', '039']"
007 040,2,"['007', '004', '040']"
007 041,2,"['007', '001', '041']"
007 042,2,"['007', '001', '042']"
007 043,2,"['007', '001', '043']"
007 044,2,"['007', '001', '044']"
007 045,2,"['007', '001', '045']"
007 046,2,"['007', '001', '046']"
007 047,2,"['007', '001', '047']"
007 048,2,"['007', '001', '048']"
007 049,2,"['007', '001', '049']"
007 050,3,"['007', '001', '009', '050']"
007 051,2,"['007', '001', '051']"
007 052,2,"['007', '001', '052']"
007 053,2,"['007', '001', '053']"
007 054,2,"['007', '001', '054']"
007 055,2,"['007', '001', '055']"
007 056,2,"['007', '001', '056']"
007 057,2,"['007', '001', '057']"
007 058,2,"['007', '001', '058']"
007 059,2,"['007', '001', '059']"
007 060,2,"['007', '001', '060']"
007 061,2,"['007', '001', '061']"
007 062,2,"['007', '001', '062']"
007 063,2,"['007', '003', '063']"
007 064,2,"['007', '001', '064']"
007 065,2,"['007', '001', '065']"
007 066,2,"['007', '001', '066']"
007 067,2,"['007', '001', '067']"
007 068,2,"['007', '001', '068']"
007 069,2,"['007', '001', '069']"
007 070,2,"['007', '001', '070']"
007 071,2,"['007', '001', '071']"
007 072,2,"['007', '004', '072']"
007 073,2,"['007', '001', '073']"
007 074,2,"['007', '001', '074']"
007 075,1,"['007', '075']"
007 076,2,"['007', '001', '076']"
007 077,2,"['007', '001', '077']"
007 078,2,"['007', '001', '078']"
007 079,2,"['007', '001', '079']"
007 080,2,"['007', '001', '080']"
007 081,2,"['007', '001', '081']"
007 082,2,"['007', '001', '082']"
007 083,2,"['007', '001', '083']"
007 084,2,"['007', '001', '084']"
007 085,3,"['007', '001', '009', '085']"
007 086,2,"['007', '001', '086']"
007 087,2,"['007', '001', '087']"
007 088,2,"['007', '001', '088']"
007 089,2,"['007', '001', '089']"
007 090,2,"['007', '001', '090']"
007 091,2,"['007', '001', '091']"
007 092,2,"['007', '001', '092']"
007 093,2,"['007', '001', '093']"
007 094,2,"['007', '001', '094']"
007 095,2,"['007', '001', '095']"
007 096,2,"['007', '004', '096']"
007 097,2,"['007', '004', '097']"
007 098,2,"['007', '003', '098']"
007 099,2,"['007', '003', '099']"
007 100,2,"['007', '003', '100']"
007 101,2,"['007', '003', '101']"
007 102,2,"['007', '003', '102']"
007 103,2,"['007', '001', '103']"
007 104,2,"['007', '001', '104']"
007 105,2,"['007', '001', '105']"
007 106,2,"['007', '001', '106']"
007 107,2,"['007', '001', '107']"
007 108,2,"['007', '001', '108']"
007 109,2,"['007', '001', '109']"
007 110,1,"['007', '110']"
007 111,1,"['007', '111']"
007 112,1,"['007', '112']"
007 113,1,"['007', '113']"
007 114,1,"['007', '114']"
008 001,1,"['008', '001']"
008 002,2,"['008', '001', '002']"
008 003,2,"['008', '001', '003']"
008 004,2,"['008', '001', '004']"
008 005,2,"['008', '001', '005']"
008 006,2,"['008', '001', '006']"
008 007,2,"['008', '001', '007']"
008 008,0,['008']
008 009,1,"['008', '009']"
008 010,2,"['008', '001', '010']"
008 011,2,"['008', '001', '011']"
008 012,1,"['008', '012']"
008 013,2,"['008', '001', '013']"
